"Time","value"
1706346654419,103912
1706346654511,103832
1706346654605,102771
1706346654699,103151
1706346654793,105192
1706346654887,104323
1706346654981,102187
1706346655075,95171
1706346655169,76995
1706346655263,55410
1706346655357,51671
1706346655451,52272
1706346655544,52157
1706346655639,52162
1706346655733,52149
1706346655826,52148
1706346655920,52148
1706346656014,52146
1706346656108,52144
1706346656202,52144
1706346656296,52143
1706346656390,52146
1706346656484,52143
1706346656577,52143
1706346656671,52143
1706346656765,52142
1706346656859,52143
1706346656953,52145
1706346657047,52146
1706346657141,52146
1706346657235,52146
1706346657329,52145
1706346657423,52147
1706346657516,52146
1706346657610,52146
1706346657981,52143
1706346658075,52144
1706346658169,52144
1706346658263,52145
1706346658357,52145
1706346658450,52144
1706346658544,52147
1706346658638,52147
1706346658732,52145
1706346658827,52146
1706346658920,52146
1706346659014,52145
1706346659108,52147
1706346659202,52146
1706346659296,52145
1706346659389,52142
1706346659484,52145
1706346659578,52146
1706346659672,52147
1706346659766,52147
1706346659860,52146
1706346659953,52145
1706346660047,52144
1706346660141,52143
1706346660235,52147
1706346660329,52147
1706346660423,52146
1706346660517,52148
1706346660611,52147
1706346660705,52149
1706346660799,52145
1706346660892,52146
1706346660986,52144
1706346661080,52148
1706346661174,52151
1706346661268,52149
1706346661362,52147
1706346661456,52147
1706346661550,52146
1706346661644,52144
1706346661737,52147
1706346661832,52147
1706346661925,52147
1706346662019,52148
1706346662113,52148
1706346662207,52146
1706346662301,52149
1706346662395,52150
1706346662489,52148
1706346662790,52145
1706346662884,52148
1706346662978,52147
1706346663072,52147
1706346663165,52148
1706346663260,52148
1706346663353,52146
1706346663447,52145
1706346663541,52145
1706346663635,52147
1706346663728,52148
1706346663823,52146
1706346663917,52144
1706346664010,52145
1706346664105,52150
1706346664199,52152
1706346664292,52149
1706346664386,52150
1706346664480,52148
1706346664574,52144
1706346664668,52145
1706346664762,52148
1706346664856,52147
1706346664950,52147
1706346665044,52149
1706346665137,52146
1706346665231,52145
1706346665325,52143
1706346665419,52146
1706346665513,52147
1706346665607,52148
1706346665701,52144
1706346665795,52144
1706346665889,52149
1706346665982,52149
1706346666076,52150
1706346666171,52151
1706346666264,52149
1706346666359,52146
1706346666452,52149
1706346666546,52150
1706346666640,52151
1706346666734,52148
1706346666828,52148
1706346666922,52147
1706346667016,52147
1706346667110,52148
1706346667458,52145
1706346667551,52146
1706346667645,52146
1706346667739,52149
1706346667833,52148
1706346667927,52150
1706346668020,52150
1706346668115,52149
1706346668208,52146
1706346668302,52145
